sensor_index,date_created,name,location_type,uptime,latitude,longitude
14211,1533408761,Fishhawk Lake,0,28647,46.034363,-123.36902
14223,1533408973,Revenue Bridge,0,724,45.40713,-122.23331
14273,1533421312,Maple,0,21321,48.757256,-122.44002
14347,1533489255,"Ku'Ale Heights Milwaukie, OR",0,18218,45.43199,-122.63743
276514,1746035503,Elk Lake Resort,0,7617,43.9806,-121.806076
14379,1533588498,Munson Valley - Crater Lake,0,47085,42.897236,-122.133675
14403,1533665851,Sooke_Broom_Hill,0,2160,48.384075,-123.73734
14441,1534127566,Pit Road,0,1128,48.484543,-120.20771
14473,1534131861,West Bend Village,0,12626,44.052723,-121.33519
276622,1746118699,Cascades Academy,0,31946,44.133636,-121.33145
276648,1746118714,Gonzaga Climate Institute,0,5629,47.6698,-117.402275
276670,1746123682,THE SMIDDE,0,25448,45.360752,-121.93412
14527,1534191053,"Mount Rainier National Park - Longmire, WA",0,15751,46.74973,-121.812126
14643,1534375278,Willamette Slough,0,8728,44.880676,-123.13818
14647,1534536333,Nine Mile Falls,0,22804,47.794773,-117.55018
14751,1535490241,Bainbridge - Rotary Park,0,17867,47.632866,-122.53025
14923,1536091679,Edgewood Outside,0,11968,45.504284,-122.69953
14941,1536091817,West Olympia/Evergreen,0,21898,47.079426,-122.96274
14943,1536091830,"West Valley, Yakima, WA",0,20384,46.598156,-120.63518
14967,1536092062,Astoria,0,57437,46.13794,-123.836395
14971,1536092093,Caldera Springs,0,42578,43.84786,-121.43234
14979,1536092216,River Bend (Tanner),0,44610,47.47932,-121.69221
14981,1536092250,Fulcrum Environmental Consulting,0,16969,46.60773,-120.50812
14989,1536173670,White Creek Wind I,0,7729,45.814323,-120.34735
277206,1746219172,RCECC,0,3133,47.48018,-122.17207
15073,1536185797,Orin Rice,0,20,48.481693,-117.99933
15077,1536185818,"MV Clean Air Ambassador @ Methow Estates (2,025ft)",0,5002,48.525944,-120.17406
15079,1536185821,Chelan_EHN,0,1740,47.855423,-120.03305
15093,1536186138,Tiger Mountain - 850 ft,0,34038,47.470676,-121.992195
15097,1536186242,Ferguson Rd &amp; Turnbow Ln,0,22964,44.244415,-123.34634
15111,1536341982,Bryant Air - Wally!!!!!,0,9209,47.67582,-122.29023
15115,1536344529,OMSI HFS ,0,5002,44.919464,-120.425964
15143,1536344834,CountryGlen Keizer,0,4666,45.01753,-123.01664
15153,1536344998,Upper Rendezvous,0,10308,48.555138,-120.24219
277309,1746477611,Northland patio,0,52476,47.75194,-117.40841
15175,1536599968,Burlington,0,21419,48.4756,-122.312256
15187,1536600052,Upper Multnomah Village,0,11970,45.474007,-122.70476
277331,1746477645,Green Mill,0,37152,46.645145,-112.01868
15193,1536600175,"Crescent Lake, OR",0,62360,43.5104,-121.93337
15205,1536600296,Woodridge,0,25356,47.59245,-122.174736
15207,1536600311,__SilvanaTerraceSensor1,0,56869,48.20307,-122.28908
15209,1536600315,Triple Creek,0,23796,46.0372,-118.3191
15211,1536600317,__SilvanaTerraceSensor2,0,18449,48.2038,-122.28888
15229,1536600525,Darrington Elementary School,0,1622,48.246708,-121.60306
277467,1746558566,"St Marie, MT",0,13213,48.401424,-106.54456
15551,1537207515,Looparian,0,42875,47.386105,-122.51285
15559,1537207602,Sunny Knoll Cady Mtn,0,56281,48.554817,-123.12956
277772,1746650791,PettyCrk_MissoulaPublicHealth,0,5668,46.888435,-114.4583
15793,1537392592,Hewett Blvd 1,0,10868,45.50253,-122.732216
15857,1537465411,SSSSSensor,0,24173,47.324177,-122.37791
278011,1746799587,Paradise Valley,0,2600,45.51404,-110.60883
15877,1537465605,south side cougar mt,0,37051,47.515102,-122.10913
15897,1537465744,Highland View House,0,25177,48.710464,-118.14744
278043,1746800046,Fish Hatchery,0,52313,48.439632,-117.278694
15955,1537551376,River house,0,2158,48.074753,-119.952995
15977,1537561341,North Lake School,0,14508,43.245495,-120.90433
15987,1537561449,Sprague's Addition,0,17707,47.823856,-122.223495
16005,1537561527,Brookings Seacrest Lane,0,56001,42.070786,-124.30528
16007,1537561533,NE Glisan,0,58976,45.52642,-122.62481
16095,1537815348,CoPShops,0,2069,45.677116,-118.77116
278915,1747246513,Magnolia Ridge,0,418,47.50881,-122.63858
279562,1747683285,Diamond Point,0,11378,48.657097,-116.8518
279628,1747761598,MarshallMtn_MissoulaPublicHealth,0,3630,46.91949,-113.90714
17621,1539303243,Pt Woodworth,0,3934,47.275444,-122.37318
279806,1747773878,CleanComb_Exterior1,0,42903,47.666275,-117.40351
17663,1539369179,Pointe Woodworth,0,28610,47.2751,-122.37583
279922,1747840661,Entiat River CP,0,10659,47.8896,-120.44326
280118,1747862081,Rattlesnake/Wheatfield Wind Farms,0,5006,45.677284,-120.21095
18161,1540852017,Issaquah Highlands,0,26144,47.544365,-122.0162
18355,1541111546,East Pearrygin,0,23826,48.47289,-120.13231
18357,1541111555,CoPMcKay,0,59091,45.652264,-118.82309
280514,1748011252,Camp Tamarack,0,39567,44.407635,-121.75616
280692,1748373044,Veca,0,1514,43.515903,-116.136345
18613,1541527775,Gym outside,0,18665,48.056057,-122.27148
280804,1748440843,Riley Substation,0,242,43.56869,-119.53729
280826,1748442730,North Sherman 1,0,2340,45.596786,-120.70297
280862,1748447183,Feline Overlords,0,456,44.865345,-123.03035
18853,1541723754,Woodriver Village,0,120,44.037624,-121.32615
281034,1748466821,LaPine State Park,0,5716,43.774574,-121.53864
281058,1748466834,Athletic Field,0,55959,46.078342,-118.330894
281122,1748532149,Stein,0,5002,48.98071,-122.64073
281266,1748545737,Sunset Hill,0,435,47.67846,-122.403694
281298,1748545763,US EPA CASTNET PND165_281298,0,133,42.929,-109.7878
19177,1542242694,Windy Flats O&amp;M ,0,7726,45.72669,-120.83396
19477,1542420049,Capitol Hill,0,17324,47.63501,-122.31903
281962,1749129785,1409 E. Illinois,0,6695,48.76843,-122.4555
282168,1749146929,carlkidcrypto-purpleair3,0,2348,46.747128,-116.99886
282812,1749572785,Buck Canyon,0,15300,44.00523,-121.34545
282884,1749593510,Alki Point,0,2574,47.577568,-122.41559
20755,1544041587,View Ridge ,0,23092,47.679302,-122.28134
20759,1544041613,North Admiral,0,26489,47.586075,-122.38301
20823,1544050864,Wildwood,0,6193,45.005024,-123.04028
20865,1544124882,Bavarian Retreat,0,51500,46.73486,-121.98901
20999,1544139947,Megan's meadow,0,34668,47.269146,-122.230835
21049,1544199954,Darrington Library,0,41512,48.254745,-121.60436
21067,1544200156,North Shore Acres,0,54200,47.892666,-119.069695
283340,1749761976,NSO Exterior,0,32683,42.17625,-122.67149
21245,1544492164,Oak Bay/Portage Canal,0,48523,48.026882,-122.73152
21257,1544492215,Lincoln Street,0,52133,48.11962,-122.75773
21319,1544500634,Magnolia,0,6492,47.647152,-122.41156
21429,1544561605,Carpenter Fam,0,43302,45.57468,-122.698166
21457,1544561705,CASCADE HEAD RANCH,0,5782,45.047348,-123.99328
283650,1749840813,Backyard Shed,0,28508,47.164326,-122.60847
283926,1750192794,Divide Schoolhouse,0,52,45.74976,-112.75483
284132,1750262375,segment7.net roof,0,49,47.588184,-122.29937
284224,1750280967,Cooper Pt/Budd Inlet,0,45007,47.139885,-122.92683
284364,1750349599,Main &amp; Grizzly Gulch,0,54882,46.57856,-112.05016
284472,1750353602,Sisters Vista Court,0,294,44.342144,-121.492744
284556,1750360275,MT Mesonet — Frenchman Ridge,0,15892,47.75,-110.55
284558,1750360277,MT Mesonet — Vida NE,0,20102,47.92,-105.35
284552,1750360272,MT Mesonet — Eden NW,0,36945,47.32,-111.33
284554,1750360274,MT Mesonet — Scotsman Coulee,0,1562,47.93,-106.17
284820,1750456758,Cape Blanco State Park,0,2216,42.830517,-124.54929
22715,1544913751,Boulder's Farm,0,22104,44.758186,-123.4412
284912,1750693829,Cabin 2,0,5252,47.884785,-122.578156
284936,1750693833,Licorice Fern II,0,19825,47.514828,-122.11634
22977,1545155147,Hailey ICR,0,460,43.52901,-114.31772
22983,1545155175,Concordia,0,13144,45.56577,-122.62801
285216,1750878913,Hansen Lane,0,1965,45.412483,-122.75752
285218,1750878913,Gibson Road,0,3689,45.408337,-123.08577
23125,1545237945,Sams Valley - Southern Oregon,0,3016,42.515858,-122.89764
285336,1750888361,PurpleRain,0,6515,47.64653,-122.37314
23307,1545254448,Panoramic,0,7755,44.31813,-121.46918
285462,1750966915,North Saanich,0,30514,48.622623,-123.43463
285536,1751032317,Home,0,19881,47.844265,-122.24613
285736,1751058116,Lacyfield,0,37462,44.00013,-123.14979
23623,1545945283,asthma gang // we grew up by flight paths and freeways,0,71140,47.486942,-122.3305
23775,1545957938,"Lowell, OR",0,5214,43.917946,-122.7806
286206,1751401051,Colville Office - NETCHD,0,25300,48.54041,-117.90464
24241,1547069193,PPR WASHINGTON PARK SOUTH,0,950,45.51019,-122.71709
286386,1751570099,Sterling Creek Road (800’ above),0,1088,42.253956,-122.98672
286458,1751575999,Timberhill,0,22103,44.594345,-123.28187
286746,1751904925,Northwoods,0,300,48.437115,-114.32111
287476,1752378617,MT Mesonet — Birney,0,49152,45.34,-106.52
287478,1752378622,MT Mesonet — Ethridge N,0,28562,48.61,-112.15
287484,1752378629,MT Mesonet — Thurlow,0,49003,46.28,-106.31
287486,1752378631,MT Mesonet — Sanders N,0,67529,46.32,-107.08
287480,1752378625,MT Mesonet — Simpson,0,15301,48.93,-110.19
287482,1752378627,MT Mesonet — Forsyth S,0,71515,46.18,-106.71
287488,1752378634,MT Mesonet — Kremlin NW,0,18081,48.74,-110.22
287490,1752378636,MT Mesonet — Bootlegger S CG SW,0,27268,48.31,-111.34
287712,1752581750,SC - Prospectors Reach,0,2706,47.210102,-121.012085
287746,1752581787,Tripod Court Tamarack,0,1332,44.663258,-116.1278
287972,1752681992,Conyers Creek Road,0,2144,46.08968,-123.21858
287998,1752682029,Chuckanut Point Road,0,1029,48.666042,-122.49383
288020,1752682038,PDI,0,142,47.19416,-119.30088
288018,1752682037,MSY,0,428,46.605656,-120.56605
288042,1752684100,Stormy Ranch,0,600,44.170868,-121.35927
26013,1549305144,Kummrow,0,21218,45.38822,-122.82707
288172,1752764133,winetown,0,5453,47.72137,-122.11683
288244,1752767041,Lamont MS,0,1240,47.203568,-117.90083
288262,1752858808,Lost Tracks Neighborhood,0,9954,43.994366,-121.312
288286,1752858840,Some Day Farm,0,12430,44.156815,-121.30707
288308,1752858877,Blandena,0,1730,45.557095,-122.67436
288320,1752860683,Dew Residence,0,55,42.869675,-109.860306
288422,1752866836,Endicott School District,0,31769,46.932148,-117.689445
288428,1752866840,The Rooftop at SCP Redmond,0,8271,44.272194,-121.17467
288634,1753128363,Wahl,0,10785,48.821724,-122.366005
288644,1753128368,McConihe Flats,0,11059,47.2004,-119.39435
288648,1753128372,Blackberry Bog,0,8579,47.491734,-122.07182
288712,1753130761,Hoodsport Winery,0,9257,47.395573,-123.143875
288720,1753130768,1611 Wild Rye,0,7047,44.092552,-121.33351
288732,1753130794,Peak42,0,6213,44.05662,-121.26154
288780,1753211066,Desert Aire,0,6922,46.674065,-119.924385
288810,1753211175,5427 S Blueridge Dr Spokane WA 99224,0,11222,47.603355,-117.422226
288818,1753212811,StidYard,0,5261,47.144714,-122.983215
26687,1550166069,Federal Way WA Alderbrook,0,48612,47.307163,-122.35243
288884,1753216759,Manson School District Office,0,12997,47.889816,-120.153404
288880,1753216340,Johnson House,0,174,43.64381,-108.22286
288888,1753216764,Valley Forge,0,51567,43.566505,-116.15592
289212,1753374877,Ferry County Cycling Federation World HQ,0,736,48.77345,-118.13677
289222,1753374893,ourhouse,0,3878,47.625763,-122.52432
289254,1753381042,1592 Doe Run Rd,0,824,48.057213,-123.092545
289274,1753381065,Trout Lake,0,512,48.124275,-117.37272
27287,1550688550,BOISE STATE ATHLETICS,0,3548,43.602463,-116.19654
27467,1550790248,PPR test,0,3760,45.554947,-122.5789
289816,1753809417,"Riverview Lane, Curlew",0,47,48.890835,-118.70442
289942,1753823555,Chewelah - NETCHD,0,22985,48.277832,-117.71363
289948,1753827080,39th and Olive st.,0,70417,45.645824,-122.66701
289954,1753893136,SHL0003,0,20983,46.896133,-114.07044
290006,1753896763,MacPainter Air,0,31794,47.731815,-122.242226
290288,1754321464,Horse Butte,0,1036,43.979137,-121.226326
28293,1552002261,BattleGroundWest,0,33838,45.775288,-122.5598
28423,1552335189,GRIZZLY WAY,0,6229,48.24921,-114.34399
28733,1552574423,Cooks Butte,0,4064,45.3924,-122.69781
28745,1552574471,Oregon Observatory,0,24210,43.88536,-121.44795
290972,1754936352,North Dairy and Service,0,55422,48.44801,-123.328094
29145,1553013063,TDS,0,11008,48.07625,-122.19771
29267,1553024217,New Haven,0,58814,42.391968,-122.892845
291690,1755646810,Morey Road,0,19879,42.221767,-122.79588
291918,1755748770,McCall Field Campus,0,8541,44.92737,-116.08779
292003,1755813059,Makah National Fish Hatchery,0,29873,48.289627,-124.65291
29963,1554225855,Kalispel Government Office,0,34540,48.345528,-117.27226
292111,1755884986,EOARC Burns,0,31655,43.518665,-119.02145
292105,1755884804,Makah Tribal Center,0,1506,48.347164,-124.667885
292107,1755884913,Fields School,0,7146,45.450153,-122.88491
292173,1755885484,LRAPA Oakrige City Hall Outdoor,0,19808,43.74721,-122.45701
292191,1755885592,Agency (Warm Springs),0,33040,44.758,-121.26889
30123,1554488557,Charcoal,0,6647,46.264393,-119.197495
30421,1554923623,Riverside,0,4002,48.502644,-119.50616
30559,1555444455,Capitol Hill,0,33275,47.62679,-122.320076
30663,1555517110,Spokane South Hill #1,0,9051,47.633038,-117.37173
292839,1756249882,Horseshoe Lake,0,3336,47.306816,-122.04038
292845,1756249891,"Kirkland, WA",0,1001,47.70525,-122.193436
292855,1756249901,Intalco Demo,0,1710,48.8443,-122.70935
292859,1756249906,Issaquah Highlands,0,7185,47.547665,-121.998856
292869,1756249917,Intalco Demo,0,2508,48.84443,-122.70562
292881,1756249934,Front,0,1412,44.02857,-123.05249
292907,1756255557,EK-MillCreek,0,2314,47.86947,-122.197395
