STATEFP,ANSICODE,POINTID,FULLNAME,MTFCC,longitude,latitude
16,00382774,1102653683215,Gunnell Guard Sta,C3081,-113.190827,42.119083
16,00386736,1102653692913,Melcher Mine,C3081,-113.555285,42.302967
16,00387440,1102653694608,Myers Mine,C3081,-113.719178,42.257133
16,00395126,1102653668985,Bohns Rock,C3081,-115.845707,46.884351
16,00378503,1102653670640,Bungalow Ranger Sta,C3081,-115.506255,46.630749
16,00394015,1102653672256,Canyon and Kelly Creek Ranger Sta,C3081,-116.267361,46.495736
16,00378888,1102653672419,Canyon Ranger Sta,C3081,-115.586257,46.836299
16,00395571,1102653672429,Canyon Work Ctr,C3081,-115.584313,46.836021
16,00394535,1102653678120,Dworshak Dam and Visitor Ctr,C3081,-116.296252,46.51518
16,00396046,1102653702809,Apple Vly,C3081,-116.996546,43.839884
16,00396530,1102653705292,Garden Vly,C3081,-115.952063,44.089894
16,00395589,1102653685921,Hunt Sta,C3081,-114.229475,42.620189
16,00373310,1102653687353,Jerome Sta,C3081,-114.54231,42.724116
16,00395782,1102653693717,Minidoka Relocation Ctr,C3081,-114.252531,42.679632
16,00395570,1102653669356,Bovard Sta,C3081,-116.706821,46.672114
16,00400230,1102653675056,Cornell Sta,C3081,-116.450988,46.809065
16,00395580,1102653679457,Estes Sta,C3081,-117.023777,46.776554
16,00395560,1102653688375,Korns Shopping Ctr,C3081,-117.00322,46.737943
16,00394700,1102653695735,Palouse District Ranger Sta,C3081,-116.912942,46.930726
16,00396016,1102653698694,Sherwin Sta,C3081,-116.3471,46.947959
16,00399713,1102653701534,Wagon Town Hl,C3081,-116.42432,46.793788
16,00395565,1102653667412,Besslen Sta,C3081,-114.158088,42.903518
16,00376395,1102653670152,Bruneau Guard Sta,C3081,-115.835084,42.880196
16,00376407,1102653689637,Little Valley Compressor Sta,C3081,-115.960368,42.772395
16,00374476,1102653696447,Poison Creek Stage Sta,C3081,-116.938201,43.5021
16,00376936,1102653665559,Bannock Guard Sta,C3081,-112.411087,42.731858
16,00400211,1102653668626,Blaser Sta,C3081,-112.006349,42.654362
16,00395156,1102653670759,Buttrey-Osco Family Ctr,C3081,-112.44859,42.873247
16,00373835,1102653692190,Marsh Ctr,C3081,-112.24969,42.508249
16,00391630,1102653699948,Summit Guard Sta,C3081,-112.264133,42.351862
16,00399135,1102653706988,Marsh Vly,C3081,-112.155797,42.517695
16,00376945,1102653665647,Barber Flat Forest Service Sta,C3081,-115.536488,43.812951
16,00377990,1102653668978,Bog Forest Service Sta,C3081,-115.715667,44.155452
16,00378002,1102653669008,Boise Basin Experiment Sta,C3081,-115.842609,43.834615
16,00379864,1102653675244,Cottonwood Ranger Sta,C3081,-115.834827,43.64017
16,00380475,1102653677110,Deer Park Guard Sta,C3081,-115.401207,43.915454
16,00397730,1102653681470,Garden Valley Ranger Sta,C3081,-115.919284,44.061561
16,00398475,1102653681484,Garden Valley Work Ctr,C3081,-115.919562,44.061838
16,00383248,1102653684602,Holcomb Guard Sta,C3081,-115.975389,43.75628
16,NA,11015504291053,Idaho Falls Regional Arprt,K2451,-112.070749,43.513722
16,NA,11015504291046,Eirmc Heliport,K2460,-111.991509,43.471374
16,NA,11015504291060,Rainbow Ranch Arprt,K2451,-111.973137,43.40629
16,NA,11015504291037,Qb One Arprt,K2451,-112.242034,43.600732
16,NA,11015504291028,Huskey Arprt,K2451,-111.283724,43.420265
16,00384139,1102653688031,Kelly Creek Work Ctr,C3081,-115.085405,46.721028
16,00394650,1102653694597,Musselshell Work Ctr,C3081,-115.745139,46.357129
16,00401045,1102653695510,Orofino-Grangemont Check Sta,C3081,-116.166251,46.537126
16,00394912,1102653696149,Pierce Work Ctr,C3081,-115.795417,46.496576
16,00390248,1102653698572,Sheep Mountain Work Ctr,C3081,-115.604306,46.748521
16,00398331,1102653701824,Weitas Work Ctr,C3081,-115.438191,46.554081
16,NA,11015504291156,Clearwater Valley Hosp,K2460,-116.259597,46.486481
16,00392002,1102653700555,Third Fork Guard Sta,C3081,-116.301806,44.372944
16,NA,11015504291150,Walter Knox Memorial Hosp,K2460,-116.484488,43.880625
16,00399149,1102653682436,Grandine Ranger Sta,C3081,-112.648588,42.047974
16,00399362,1102653665032,Avery Guard Sta,C3081,-115.805432,47.251867
16,00400400,1102653665054,Avery Ranger Sta,C3081,-115.918489,47.252978
16,00377289,1102653666938,Beaver Sta,C3081,-115.912941,47.557149
16,00377290,1102653666962,Beaver Work Ctr,C3081,-116.212125,47.975473
16,00399019,1102653671120,Calder Work Ctr,C3081,-116.176271,47.266862
16,00394634,1102653673881,Clarkia Work Ctr,C3081,-116.262101,47.018795
16,00400405,1102653679012,Elk Pr,C3081,-115.448203,47.006301
16,00386617,1102653692601,McGee Ranger Sta,C3081,-116.251568,47.844361
16,00389201,1102653697072,Red Ives Ranger Sta,C3081,-115.352644,47.057973
16,00399192,1102653697672,Roundtop Guard Sta,C3081,-115.855155,47.108802
16,00389677,1102653697680,Roundtop Work Ctr,C3081,-115.855711,47.107691
16,00394176,1102653698769,Shoshone Camp Work Ctr,C3081,-115.971003,47.707423
16,00399196,1102653698779,Shoshone Creek Guard Sta,C3081,-115.970169,47.705757
16,00400539,1102653700058,Sunshine Mine Disaster Meml,C3081,-116.047942,47.528258
16,00392317,1102653700957,Trail Creek Work Ctr,C3081,-116.254901,47.839916
16,00396229,1102653703810,Carbon Ctr,C3081,-115.900996,47.558261
16,NA,11015504291333,Ziggy's Arprt,K2451,-114.604157,42.640642
16,NA,11015504291323,Shetler's Heliport,K2460,-114.5454,42.54325
16,NA,11015504291314,St Luke's Magic Valley Heliport,K2460,-114.496209,42.591248
