id,time_stamp,humidity,temperature,pm2.5_atm,pm2.5_cf_1
10906,2023-04-01T00:00:00Z,31,59,1.6,1.9
10906,2021-02-01T00:00:00Z,39,47,5.3,6.1
10906,2022-09-01T00:00:00Z,22,82,21.9,27.5
10906,2023-03-01T00:00:00Z,38,48,1.1,1.1
10906,2022-10-01T00:00:00Z,27,68,7.2,7.6
10906,2025-06-01T00:00:00Z,25,81,5,5.4
10906,2024-02-01T00:00:00Z,39,52,2.2,2.6
10906,2022-08-01T00:00:00Z,20,92,10,11
10906,2021-01-01T00:00:00Z,41,47,7.4,8.4
10906,2024-03-01T00:00:00Z,35,55,2.3,2.5
10906,2025-03-01T00:00:00Z,33,57,12.7,14
10906,2020-11-01T00:00:00Z,38,51,6.7,7.3
10906,2025-05-01T00:00:00Z,28,72,13,14.6
10906,2022-11-01T00:00:00Z,39,46,9.6,10.1
10906,2023-01-01T00:00:00Z,41,44,3.4,3.6
10906,2024-01-01T00:00:00Z,44,45,13.1,16
10906,2020-10-01T00:00:00Z,27,67,14.1,18.2
10906,2020-01-01T00:00:00Z,49,82,0.6,0.6
10906,2022-07-01T00:00:00Z,20,91,7.5,9
10906,2021-06-01T00:00:00Z,23,86,4.6,5.1
10906,2023-06-01T00:00:00Z,34,77,6.4,6.9
10906,2025-01-01T00:00:00Z,38,42,14.3,15.2
10906,2020-07-01T00:00:00Z,55,85,1.2,1.2
10906,2023-12-01T00:00:00Z,45,47,8.5,8.8
10906,2021-08-01T00:00:00Z,25,85,30.6,39
10906,2024-11-01T00:00:00Z,38,51,1352.5,2008.4
10906,2023-07-01T00:00:00Z,20,90,10.3,11.2
10906,2022-02-01T00:00:00Z,36,44,8.9,9.7
10906,2022-06-01T00:00:00Z,30,77,4.3,5.6
10906,2023-05-01T00:00:00Z,32,74,7.1,8.4
10906,2024-06-01T00:00:00Z,25,81,3.6,4.2
10906,2020-09-01T00:00:00Z,22,79,38.5,53.4
10906,2020-12-01T00:00:00Z,40,45,10.8,11.4
10906,2020-02-01T00:00:00Z,46,81,0.7,0.7
10906,2022-03-01T00:00:00Z,31,57,2,2.1
10906,2023-08-01T00:00:00Z,29,86,12.1,13.6
10906,2020-06-01T00:00:00Z,56,84,1.1,1.1
10906,2021-10-01T00:00:00Z,32,66,4.2,4.5
10906,2025-02-01T00:00:00Z,42,46,12.5,13.6
10906,2022-05-01T00:00:00Z,33,68,3.8,5
10906,2023-11-01T00:00:00Z,38,54,10.3,10.9
10906,2022-12-01T00:00:00Z,43,41,9.7,10.5
10906,2022-04-01T00:00:00Z,31,57,1.5,1.5
10906,2024-08-01T00:00:00Z,20,87,36.7,47.6
10906,2024-07-01T00:00:00Z,20,91,28.8,36.7
10906,2021-07-01T00:00:00Z,19,93,26.9,33
10906,2024-04-01T00:00:00Z,30,63,1.8,1.9
10906,2021-12-01T00:00:00Z,42,46,6.6,6.9
10906,2020-03-01T00:00:00Z,52,81,0.7,0.7
10906,2024-12-01T00:00:00Z,46,46,20.4,23.4
10906,2025-07-01T00:00:00Z,24,88,7.6,8.4
10906,2021-04-01T00:00:00Z,25,63,3,3.2
10906,2023-10-01T00:00:00Z,35,66,7.7,8.4
14057,2022-07-01T00:00:00Z,20,90,5.6,5.6
14057,2023-02-01T00:00:00Z,34,45,4.8,4.9
14057,2023-09-01T00:00:00Z,27,77,4.9,4.9
14057,2021-02-01T00:00:00Z,39,46,3.6,3.6
14057,2021-11-01T00:00:00Z,43,54,12,12.3
14057,2022-02-01T00:00:00Z,37,44,11.4,11.6
14057,2021-08-01T00:00:00Z,24,85,30.8,39.1
14057,2022-10-01T00:00:00Z,29,68,10.2,10.3
14057,2022-08-01T00:00:00Z,22,90,11,11.2
14057,2024-02-01T00:00:00Z,41,51,1.9,1.9
14057,2025-01-01T00:00:00Z,38,43,7.2,7.2
14057,2023-03-01T00:00:00Z,40,48,1.4,1.4
14057,2020-02-01T00:00:00Z,35,48,2.6,2.6
14057,2023-05-01T00:00:00Z,32,74,5.2,5.4
14057,2023-01-01T00:00:00Z,43,44,4.8,4.8
14057,2024-07-01T00:00:00Z,20,90,32.4,42.5
14057,2025-06-01T00:00:00Z,23,80,3.1,3.1
14057,2022-09-01T00:00:00Z,23,81,25.7,31.9
14057,2020-08-01T00:00:00Z,21,87,19.4,24.1
14057,2024-05-01T00:00:00Z,30,67,1.5,1.5
14057,2023-12-01T00:00:00Z,47,46,11.5,11.6
14057,2023-07-01T00:00:00Z,19,90,8,8.1
14057,2023-06-01T00:00:00Z,33,76,5.6,5.7
14057,2022-04-01T00:00:00Z,31,57,1.8,1.8
14057,2024-03-01T00:00:00Z,37,55,2.2,2.3
14057,2025-02-01T00:00:00Z,43,46,5.3,5.4
14057,2020-06-01T00:00:00Z,34,76,2.1,2.1
14057,2025-07-01T00:00:00Z,22,88,5.4,5.6
14057,2022-03-01T00:00:00Z,31,57,3.2,3.2
14057,2021-07-01T00:00:00Z,18,92,25.3,30.3
14057,2021-10-01T00:00:00Z,32,64,3.9,4
14057,2020-01-01T00:00:00Z,45,47,4.3,4.3
14057,2020-09-01T00:00:00Z,22,79,31,42.2
14057,2020-10-01T00:00:00Z,27,65,13.5,16.8
14057,2021-06-01T00:00:00Z,23,85,3.4,3.4
14057,2024-04-01T00:00:00Z,32,62,1.4,1.4
14057,2022-11-01T00:00:00Z,40,46,14.4,14.7
14057,2024-10-01T00:00:00Z,29,67,8.8,9.1
14057,2020-12-01T00:00:00Z,43,43,15.6,15.8
14057,2020-11-01T00:00:00Z,40,50,9.5,9.5
14057,2023-10-01T00:00:00Z,35,66,6.1,6.1
14057,2020-05-01T00:00:00Z,31,71,1.6,1.6
14057,2022-12-01T00:00:00Z,45,40,11.6,12
14057,2024-06-01T00:00:00Z,25,80,2.3,2.3
14057,2022-05-01T00:00:00Z,35,65,1.3,1.3
14057,2021-09-01T00:00:00Z,23,77,18.1,23.6
14057,2024-12-01T00:00:00Z,48,45,15,15.3
14057,2023-11-01T00:00:00Z,40,52,15.1,15.7
14057,2020-04-01T00:00:00Z,29,64,2.1,2.1
14057,2024-11-01T00:00:00Z,39,51,6.3,6.4
14057,2021-04-01T00:00:00Z,23,64,2.7,2.7
14057,2021-03-01T00:00:00Z,30,55,2.9,2.9
14057,2020-07-01T00:00:00Z,22,86,5.2,5.3
14057,2022-06-01T00:00:00Z,30,77,2.4,2.4
14057,2021-05-01T00:00:00Z,27,69,2.1,2.1
14057,2024-09-01T00:00:00Z,26,80,19.7,25.1
14057,2023-08-01T00:00:00Z,29,86,12,12.8
